model_name,model_year,sale_price,mileage,car_age,yearly_maint,maintenance_status,assigned_tier
SLK,2005,5200,63000,21,1762,Minor,Standard
"S Class",2017,34948,27000,9,2406,Minor,Luxury
"SL CLASS",2016,49948,6200,10,2599,Major,Luxury
"G Class",2016,61948,16000,10,2599,Major,Luxury
"G Class",2016,73948,4000,10,2599,Major,Luxury
"SL CLASS",2011,149948,3000,15,3818,Minor,Luxury
"GLE Class",2018,30948,16000,8,1542,Major,Premium
"S Class",2012,10948,107000,14,3536,Major,Luxury
"G Class",2019,139948,12000,7,2063,Minor,Luxury
"GLA Class",2017,19750,15258,9,740,Minor,Economy
"A Class",2020,32980,606,6,588,Major,Economy
"A Class",2020,26980,1000,6,588,Major,Economy
"B Class",2019,23750,278,7,635,Minor,Economy
"GLC Class",2019,67980,5500,7,1428,Minor,Premium
"GLA Class",2016,18980,41713,10,800,Major,Economy
"B Class",2017,15890,24841,9,740,Minor,Economy
"C Class",2017,19890,30281,9,1111,Minor,Standard
"GLE Class",2019,56800,2483,7,1428,Minor,Premium
"B Class",2017,17513,14128,9,740,Minor,Economy
"C Class",2014,15701,20498,12,1399,Major,Standard
"C Class",2019,26601,9949,7,952,Minor,Standard
"C Class",2016,17672,31656,10,1199,Major,Standard
"E Class",2015,20769,21874,11,1943,Minor,Premium
"E Class",2017,22270,13398,9,1666,Minor,Premium
"GL Class",2015,34129,13581,11,2807,Minor,Luxury
"SL CLASS",2017,20601,16730,9,2406,Minor,Luxury
"CLS Class",2016,25077,13887,10,1799,Major,Premium
"SL CLASS",2017,21609,2780,9,2406,Minor,Luxury
"SL CLASS",2018,22914,8725,8,2228,Major,Luxury
"C Class",2016,19328,25042,10,1199,Major,Standard
"C Class",2019,29546,7990,7,952,Minor,Standard
"GLC Class",2019,35611,26153,7,1428,Minor,Premium
"C Class",2017,15311,31371,9,1111,Minor,Standard
"A Class",2020,28128,2563,6,588,Major,Economy
"A Class",2019,23184,1173,7,635,Minor,Economy
"A Class",2017,15787,24092,9,740,Minor,Economy
"GLC Class",2018,30682,14517,8,1542,Major,Premium
"A Class",2019,25701,11000,7,635,Minor,Economy
"C Class",2020,31790,3500,6,882,Major,Standard
"A Class",2019,25190,2471,7,635,Minor,Economy
SLK,2014,15990,43955,12,1399,Major,Standard
"CLS Class",2018,34990,18837,8,1542,Major,Premium
"GLC Class",2019,30799,9886,7,1428,Minor,Premium
"C Class",2017,19743,16509,9,1111,Minor,Standard
"C Class",2019,24055,7475,7,952,Minor,Standard
"B Class",2019,20945,13661,7,635,Minor,Economy
"C Class",2019,28524,8263,7,952,Minor,Standard
"E Class",2019,24541,10279,7,1428,Minor,Premium
"E Class",2017,20880,37000,9,1666,Minor,Premium
"A Class",2006,2880,66000,20,1175,Major,Economy
"CLC Class",2010,5880,40000,16,1762,Major,Standard
"C Class",2015,14940,43000,11,1295,Minor,Standard
SLK,2004,4890,46000,22,1762,Major,Standard
"SL CLASS",2010,16990,18000,16,3818,Major,Luxury
"B Class",2010,3890,71000,16,1175,Major,Economy
"B Class",2011,3990,90000,15,1175,Minor,Economy
"A Class",2011,3440,74000,15,1175,Minor,Economy
"GLE Class",2020,48995,3000,6,1322,Major,Premium
SLK,2008,5980,60000,18,1762,Major,Standard
"E Class",2015,13990,52000,11,1943,Minor,Premium
"CLA Class",2016,14480,84000,10,800,Major,Economy
"E Class",2010,6980,79000,16,2643,Major,Premium
"C Class",2014,11290,48000,12,1399,Major,Standard
"E Class",2011,5740,115000,15,2643,Minor,Premium
"V Class",2017,31980,16000,9,1666,Minor,Premium
"CLA Class",2014,15990,45000,12,933,Major,Economy
"B Class",2015,11240,47000,11,864,Minor,Economy
"GLC Class",2019,37980,6200,7,1428,Minor,Premium
"C Class",2019,28980,5500,7,952,Minor,Standard
"C Class",2019,23280,3908,7,952,Minor,Standard
"C Class",2019,32980,2000,7,952,Minor,Standard
"M Class",2008,5990,110000,18,2643,Major,Premium
"A Class",2013,7300,54000,13,1007,Minor,Economy
"S Class",2014,41980,26000,12,3031,Major,Luxury
"GL Class",2007,7340,104000,19,3818,Minor,Luxury
"GL Class",2007,8490,74000,19,3818,Minor,Luxury
"C Class",2009,4480,130000,17,1762,Minor,Standard
"S Class",2016,24880,75000,10,2599,Major,Luxury
"E Class",2015,17480,22000,11,1943,Minor,Premium
"E Class",2007,4880,58000,19,2643,Minor,Premium
"S Class",2015,38980,11000,11,2807,Minor,Luxury
SLK,2010,7495,59147,16,1762,Major,Standard
"C Class",2007,3790,99000,19,1762,Minor,Standard
"C Class",2007,3890,87000,19,1762,Minor,Standard
"CL Class",2015,17863,14360,11,2807,Minor,Luxury
"GLA Class",2015,17624,29505,11,864,Minor,Economy
"A Class",2018,18220,10361,8,686,Major,Economy
"SL CLASS",2017,18775,19522,9,2406,Minor,Luxury
"SL CLASS",2017,20745,23103,9,2406,Minor,Luxury
"A Class",2019,18118,15561,7,635,Minor,Economy
"A Class",2019,17990,14783,7,635,Minor,Economy
"SL CLASS",2019,28491,9477,7,2063,Minor,Luxury
"A Class",2018,18888,11565,8,686,Major,Economy
"A Class",2019,19840,6781,7,635,Minor,Economy
"A Class",2019,18241,15722,7,635,Minor,Economy
"A Class",2019,18141,15689,7,635,Minor,Economy
"GLS Class",2016,37385,21169,10,2599,Major,Luxury
"CLS Class",2017,26166,9165,9,1666,Minor,Premium
"B Class",2019,24616,3710,7,635,Minor,Economy
"C Class",2019,30403,3000,7,952,Minor,Standard
"SL CLASS",2019,30670,3000,7,2063,Minor,Luxury
"C Class",2020,30960,3000,6,882,Major,Standard
"A Class",2020,24107,3500,6,588,Major,Economy
"C Class",2019,24510,11368,7,952,Minor,Standard
"GL Class",2016,35371,14253,10,2599,Major,Luxury
"GLC Class",2019,33729,11301,7,1428,Minor,Premium
"C Class",2019,29623,7500,7,952,Minor,Standard
"C Class",2019,27964,5617,7,952,Minor,Standard
"B Class",2019,21394,9573,7,635,Minor,Economy
"B Class",2019,20882,14257,7,635,Minor,Economy
"CLS Class",2019,37352,3000,7,1428,Minor,Premium
"C Class",2018,18051,11319,8,1028,Major,Standard
"C Class",2019,24433,2326,7,952,Minor,Standard
"GLC Class",2019,37116,6250,7,1428,Minor,Premium
"GLA Class",2019,22375,13850,7,635,Minor,Economy
"C Class",2019,24915,13101,7,952,Minor,Standard
"E Class",2019,29991,10356,7,1428,Minor,Premium
"A Class",2019,22596,5382,7,635,Minor,Economy
"A Class",2019,22730,1521,7,635,Minor,Economy
"C Class",2019,26154,14696,7,952,Minor,Standard
"E Class",2020,35438,3500,6,1322,Major,Premium
"C Class",2019,27980,3168,7,952,Minor,Standard
"C Class",2019,28250,3477,7,952,Minor,Standard
"B Class",2019,23280,6441,7,635,Minor,Economy
